"gamma"	"diskbb"	"comptt"	"nh"	"norm"	"0.3-10.0"	"0.3-1.0"	"1.0-2.0"	"2.0-10.0"	"0.5-7.0"	"0.5-2.0"	"2.0-7.0"	"2.0-4.0"	"4.0-6.0"	"6.0-8.0"	"4.0-8.0"
"1.196100"	"0.997978"	"0.002022"	"0.010000"	"100.000000"	"1.000000"	"0.046987"	"0.310991"	"0.634820"	"0.987745"	"0.357566"	"0.625533"	"0.412153"	"0.186965"	"0.030117"	"0.217659"
"1.149280"	"0.989980"	"0.010020"	"0.010000"	"500.000000"	"1.000000"	"0.054158"	"0.319030"	"0.619129"	"0.987176"	"0.372340"	"0.610141"	"0.403067"	"0.181377"	"0.029354"	"0.211284"
"1.120200"	"0.908102"	"0.091898"	"0.010000"	"5000.000000"	"1.000000"	"0.112095"	"0.371063"	"0.507573"	"0.981485"	"0.476257"	"0.500769"	"0.343698"	"0.138390"	"0.021451"	"0.160211"
"1.273770"	"0.831675"	"0.168325"	"0.010000"	"10000.000000"	"1.000000"	"0.148002"	"0.403475"	"0.438381"	"0.978576"	"0.541047"	"0.433213"	"0.305512"	"0.112889"	"0.016670"	"0.129879"
"1.853200"	"0.497028"	"0.502972"	"0.010000"	"50000.000000"	"1.000000"	"0.220587"	"0.468716"	"0.298196"	"0.971998"	"0.671536"	"0.296190"	"0.230842"	"0.058648"	"0.007162"	"0.065944"
"1.192380"	"0.997980"	"0.002020"	"0.020000"	"100.000000"	"1.000000"	"0.044895"	"0.309884"	"0.637636"	"0.987649"	"0.354865"	"0.628045"	"0.413527"	"0.187967"	"0.030578"	"0.219115"
"1.155170"	"0.989988"	"0.010012"	"0.020000"	"500.000000"	"1.000000"	"0.052288"	"0.318619"	"0.621585"	"0.987057"	"0.370071"	"0.612362"	"0.404643"	"0.181939"	"0.029500"	"0.211985"
"1.133410"	"0.908169"	"0.091831"	"0.020000"	"5000.000000"	"1.000000"	"0.108144"	"0.370337"	"0.512327"	"0.982580"	"0.472408"	"0.505641"	"0.346661"	"0.139844"	"0.021728"	"0.161987"
"1.285990"	"0.831786"	"0.168214"	"0.020000"	"10000.000000"	"1.000000"	"0.142082"	"0.402971"	"0.444613"	"0.979846"	"0.535847"	"0.439433"	"0.310704"	"0.113717"	"0.016898"	"0.130964"
"1.861340"	"0.497227"	"0.502773"	"0.020000"	"50000.000000"	"1.000000"	"0.213359"	"0.471407"	"0.302912"	"0.973895"	"0.668726"	"0.300881"	"0.234361"	"0.059749"	"0.007236"	"0.067120"
"1.216890"	"0.997985"	"0.002015"	"0.050000"	"100.000000"	"1.000000"	"0.040898"	"0.305475"	"0.646467"	"0.987595"	"0.346332"	"0.636669"	"0.418171"	"0.191132"	"0.031491"	"0.223169"
"1.190030"	"0.990011"	"0.009989"	"0.050000"	"500.000000"	"1.000000"	"0.047350"	"0.314614"	"0.630590"	"0.987600"	"0.361560"	"0.621338"	"0.408916"	"0.186250"	"0.029867"	"0.216693"
